# wave       flux     unc      tunc
  2.52638     4.89     0.03     0.03
  2.52650     4.88     0.03     0.03
  2.52663     4.87     0.03     0.03
  2.52675     4.87     0.03     0.03
  2.52688     4.86     0.03     0.03
  2.52700     4.85     0.03     0.03
  2.52713     4.84     0.03     0.03
  2.52725     4.83     0.03     0.03
  2.52738     4.81     0.03     0.03
  2.52750     4.80     0.03     0.03
  2.52763     4.78     0.03     0.03
  2.52775     4.77     0.03     0.03
  2.52788     4.76     0.03     0.03
  2.52800     4.75     0.03     0.03
  2.52813     4.74     0.03     0.03
  2.52825     4.73     0.03     0.03
  2.52838     4.72     0.03     0.03
  2.52850     4.71     0.03     0.03
  2.52863     4.70     0.03     0.03
  2.52875     4.70     0.03     0.03
  2.52888     4.69     0.03     0.03
  2.52900     4.68     0.03     0.03
  2.52913     4.68     0.03     0.03
  2.52925     4.68     0.03     0.03
  2.52938     4.68     0.03     0.03
  2.52950     4.68     0.03     0.03
  2.52963     4.68     0.03     0.03
  2.52975     4.68     0.03     0.03
  2.52988     4.68     0.03     0.03
  2.53000     4.68     0.03     0.03
  2.53013     4.68     0.03     0.03
  2.53025     4.68     0.03     0.03
  2.53038     4.68     0.03     0.03
  2.53050     4.68     0.03     0.03
  2.53063     4.68     0.03     0.03
  2.53075     4.68     0.03     0.03
  2.53088     4.68     0.03     0.03
  2.53100     4.68     0.03     0.03
  2.53113     4.68     0.03     0.03
  2.53125     4.68     0.03     0.03
  2.53138     4.68     0.03     0.03
  2.53150     4.69     0.03     0.03
  2.53163     4.68     0.03     0.03
  2.53175     4.68     0.03     0.03
  2.53188     4.68     0.03     0.03
  2.53200     4.69     0.03     0.03
  2.53213     4.69     0.03     0.03
  2.53225     4.69     0.03     0.03
  2.53238     4.69     0.03     0.03
  2.53250     4.68     0.03     0.03
  2.53263     4.68     0.03     0.03
  2.53275     4.68     0.03     0.03
  2.53288     4.68     0.03     0.03
  2.53300     4.68     0.03     0.03
  2.53313     4.68     0.03     0.03
  2.53325     4.67     0.03     0.03
  2.53338     4.68     0.03     0.03
  2.53350     4.69     0.03     0.03
  2.53363     4.69     0.03     0.03
  2.53375     4.70     0.03     0.03
  2.53388     4.70     0.03     0.03
  2.53400     4.71     0.03     0.03
  2.53413     4.72     0.03     0.03
  2.53425     4.72     0.03     0.03
  2.53438     4.72     0.03     0.03
  2.53450     4.71     0.03     0.03
  2.53463     4.71     0.03     0.03
  2.53475     4.70     0.03     0.03
  2.53488     4.70     0.03     0.03
  2.53500     4.70     0.03     0.03
  2.53513     4.70     0.03     0.03
  2.53525     4.69     0.03     0.03
  2.53538     4.69     0.03     0.03
  2.53550     4.69     0.03     0.03
  2.53563     4.69     0.03     0.03
  2.53575     4.69     0.03     0.03
  2.53588     4.69     0.03     0.03
  2.53600     4.68     0.03     0.03
  2.53613     4.68     0.03     0.03
  2.53625     4.68     0.03     0.03
  2.53638     4.67     0.03     0.03
  2.53650     4.67     0.03     0.03
  2.53663     4.67     0.03     0.03
  2.53675     4.67     0.03     0.03
  2.53688     4.67     0.03     0.03
  2.53700     4.67     0.03     0.03
  2.53713     4.66     0.03     0.03
  2.53725     4.65     0.03     0.03
  2.53738     4.65     0.03     0.03
  2.53750     4.64     0.03     0.03
  2.53763     4.63     0.03     0.03
  2.53775     4.61     0.03     0.03
  2.53788     4.61     0.03     0.03
  2.53800     4.59     0.03     0.03
  2.53813     4.59     0.03     0.03
  2.53825     4.58     0.03     0.03
  2.53838     4.58     0.03     0.03
  2.53850     4.57     0.03     0.03
  2.53863     4.57     0.03     0.03
  2.53875     4.58     0.03     0.03
  2.53888     4.58     0.03     0.03
  2.53900     4.58     0.03     0.03
  2.53913     4.59     0.03     0.03
  2.53925     4.59     0.03     0.03
  2.53938     4.58     0.03     0.03
  2.53950     4.58     0.03     0.03
  2.53963     4.58     0.03     0.03
  2.53975     4.58     0.03     0.03
  2.53988     4.58     0.03     0.03
  2.54000     4.58     0.03     0.03
  2.54013     4.58     0.03     0.03
  2.54025     4.58     0.03     0.03
  2.54038     4.59     0.03     0.03
  2.54050     4.59     0.03     0.03
  2.54063     4.59     0.03     0.03
  2.54075     4.60     0.03     0.03
  2.54088     4.61     0.03     0.03
  2.54100     4.61     0.03     0.03
  2.54113     4.62     0.03     0.03
  2.54125     4.62     0.03     0.03
  2.54138     4.63     0.03     0.03
  2.54150     4.63     0.03     0.03
  2.54163     4.63     0.03     0.03
  2.54175     4.64     0.03     0.03
  2.54188     4.64     0.03     0.03
  2.54200     4.63     0.03     0.03
  2.54213     4.63     0.03     0.03
  2.54225     4.63     0.03     0.03
  2.54238     4.63     0.03     0.03
  2.54250     4.63     0.03     0.03
  2.54263     4.63     0.03     0.03
  2.54275     4.63     0.03     0.03
  2.54288     4.62     0.03     0.03
  2.54300     4.62     0.03     0.03
  2.54313     4.62     0.03     0.03
  2.54325     4.61     0.03     0.03
  2.54338     4.61     0.03     0.03
  2.54350     4.61     0.03     0.03
  2.54363     4.60     0.03     0.03
  2.54375     4.59     0.03     0.03
  2.54388     4.58     0.03     0.03
  2.54400     4.57     0.03     0.03
  2.54413     4.57     0.03     0.03
  2.54425     4.55     0.03     0.03
  2.54438     4.55     0.03     0.03
  2.54450     4.55     0.03     0.03
  2.54463     4.55     0.03     0.03
  2.54475     4.55     0.03     0.03
  2.54488     4.55     0.03     0.03
  2.54500     4.57     0.03     0.03
  2.54513     4.58     0.03     0.03
  2.54525     4.59     0.03     0.03
  2.54538     4.60     0.03     0.03
  2.54550     4.61     0.03     0.03
  2.54563     4.63     0.03     0.03
  2.54575     4.63     0.03     0.03
  2.54588     4.64     0.03     0.03
  2.54600     4.64     0.03     0.03
  2.54613     4.64     0.03     0.03
  2.54625     4.64     0.03     0.03
  2.54638     4.64     0.03     0.03
  2.54650     4.63     0.03     0.03
  2.54663     4.62     0.03     0.03
  2.54675     4.62     0.03     0.03
  2.54688     4.62     0.03     0.03
  2.54700     4.62     0.03     0.03
  2.54713     4.62     0.03     0.03
  2.54725     4.63     0.03     0.03
  2.54738     4.63     0.03     0.03
  2.54750     4.64     0.03     0.03
  2.54763     4.65     0.03     0.03
  2.54775     4.65     0.03     0.03
  2.54788     4.66     0.03     0.03
  2.54800     4.66     0.03     0.03
  2.54813     4.66     0.03     0.03
  2.54825     4.66     0.03     0.03
  2.54838     4.66     0.03     0.03
  2.54850     4.66     0.03     0.03
  2.54863     4.66     0.03     0.03
  2.54875     4.66     0.03     0.03
  2.54888     4.66     0.03     0.03
  2.54900     4.66     0.03     0.03
  2.54913     4.66     0.03     0.03
  2.54925     4.67     0.03     0.03
  2.54938     4.68     0.03     0.03
  2.54950     4.70     0.03     0.03
  2.54963     4.71     0.03     0.03
  2.54975     4.73     0.03     0.03
  2.54988     4.75     0.03     0.03
  2.55000     4.77     0.03     0.03
  2.55013     4.78     0.03     0.03
  2.55025     4.80     0.03     0.03
  2.55038     4.82     0.03     0.03
  2.55050     4.84     0.04     0.04
  2.55063     4.86     0.04     0.04
  2.55075     4.88     0.04     0.04
  2.55088     4.89     0.04     0.04
  2.55100     4.89     0.04     0.04
  2.55113     4.90     0.04     0.04
  2.55125     4.89     0.04     0.04
  2.55138     4.89     0.04     0.04
  2.55150     4.87     0.04     0.04
  2.55163     4.85     0.04     0.04
  2.55175     4.83     0.04     0.04
  2.55188     4.81     0.04     0.04
  2.55200     4.79     0.04     0.04
  2.55213     4.76     0.04     0.04
  2.55225     4.73     0.04     0.04
  2.55238     4.71     0.04     0.04
  2.55250     4.69     0.04     0.04
  2.55263     4.67     0.04     0.04
  2.55275     4.65     0.04     0.04
  2.55288     4.63     0.04     0.04
  2.55300     4.62     0.04     0.04
  2.55313     4.61     0.04     0.04
  2.55325     4.61     0.04     0.04
  2.55338     4.61     0.04     0.04
  2.55350     4.62     0.04     0.04
  2.55363     4.63     0.04     0.04
  2.55375     4.64     0.04     0.04
  2.55388     4.65     0.04     0.04
  2.55400     4.66     0.04     0.04
  2.55413     4.66     0.04     0.04
  2.55425     4.67     0.04     0.04
  2.55438     4.67     0.04     0.04
  2.55450     4.67     0.04     0.04
  2.55463     4.67     0.04     0.04
  2.55475     4.66     0.04     0.04
  2.55488     4.66     0.04     0.04
  2.55500     4.66     0.04     0.04
  2.55513     4.66     0.04     0.04
  2.55525     4.67     0.04     0.04
  2.55538     4.67     0.04     0.04
  2.55550     4.68     0.04     0.04
  2.55563     4.69     0.04     0.04
  2.55575     4.70     0.04     0.04
  2.55588     4.71     0.04     0.04
  2.55600     4.72     0.04     0.04
  2.55613     4.73     0.04     0.04
  2.55625     4.73     0.04     0.04
  2.55638     4.73     0.04     0.04
  2.55650     4.73     0.04     0.04
  2.55663     4.73     0.04     0.04
  2.55675     4.73     0.04     0.04
  2.55688     4.73     0.04     0.04
  2.55700     4.73     0.04     0.04
  2.55713     4.74     0.04     0.04
  2.55725     4.74     0.04     0.04
  2.55738     4.73     0.04     0.04
  2.55750     4.73     0.04     0.04
  2.55763     4.73     0.04     0.04
  2.55775     4.72     0.04     0.04
  2.55788     4.71     0.04     0.04
  2.55800     4.71     0.04     0.04
  2.55813     4.70     0.04     0.04
  2.55825     4.69     0.04     0.04
  2.55838     4.68     0.04     0.04
  2.55850     4.68     0.04     0.04
  2.55863     4.68     0.04     0.04
  2.55875     4.68     0.04     0.04
  2.55888     4.68     0.04     0.04
  2.55900     4.69     0.04     0.04
  2.55913     4.69     0.04     0.04
  2.55925     4.69     0.04     0.04
  2.55938     4.69     0.04     0.04
  2.55950     4.69     0.04     0.04
  2.55963     4.69     0.04     0.04
  2.55975     4.69     0.04     0.04
  2.55988     4.68     0.04     0.04
  2.56000     4.67     0.04     0.04
  2.56013     4.66     0.04     0.04
  2.56025     4.65     0.04     0.04
  2.56038     4.64     0.04     0.04
  2.56050     4.63     0.04     0.04
  2.56063     4.63     0.04     0.04
  2.56075     4.62     0.04     0.04
  2.56088     4.61     0.04     0.04
  2.56100     4.61     0.04     0.04
  2.56113     4.61     0.04     0.04
  2.56125     4.61     0.04     0.04
  2.56138     4.61     0.04     0.04
  2.56150     4.61     0.04     0.04
  2.56163     4.61     0.04     0.04
  2.56175     4.61     0.04     0.04
  2.56188     4.60     0.04     0.04
  2.56200     4.59     0.04     0.04
  2.56213     4.59     0.04     0.04
  2.56225     4.59     0.04     0.04
  2.56238     4.59     0.04     0.04
  2.56250     4.59     0.04     0.04
  2.56263     4.59     0.04     0.04
  2.56275     4.60     0.04     0.04
  2.56288     4.61     0.04     0.04
  2.56300     4.62     0.04     0.04
  2.56313     4.63     0.04     0.04
  2.56325     4.65     0.04     0.04
  2.56338     4.66     0.04     0.04
  2.56350     4.68     0.04     0.04
  2.56363     4.69     0.04     0.04
  2.56375     4.71     0.04     0.04
  2.56388     4.72     0.04     0.04
  2.56400     4.72     0.04     0.04
  2.56413     4.73     0.04     0.04
  2.56425     4.74     0.04     0.04
  2.56438     4.74     0.04     0.04
  2.56450     4.74     0.04     0.04
  2.56463     4.73     0.04     0.04
  2.56475     4.72     0.04     0.04
  2.56488     4.71     0.04     0.04
  2.56500     4.69     0.04     0.04
  2.56513     4.67     0.04     0.04
  2.56525     4.65     0.04     0.04
  2.56538     4.64     0.04     0.04
  2.56550     4.62     0.04     0.04
  2.56563     4.60     0.04     0.04
  2.56575     4.59     0.04     0.04
  2.56588     4.58     0.04     0.04
  2.56600     4.57     0.04     0.04
  2.56613     4.57     0.04     0.04
  2.56625     4.56     0.04     0.04
  2.56638     4.56     0.04     0.04
  2.56650     4.55     0.04     0.04
  2.56663     4.55     0.04     0.04
  2.56675     4.55     0.04     0.04
  2.56688     4.55     0.04     0.04
  2.56700     4.55     0.04     0.04
  2.56713     4.56     0.04     0.04
  2.56725     4.56     0.04     0.04
  2.56738     4.56     0.04     0.04
  2.56750     4.56     0.04     0.04
  2.56763     4.57     0.04     0.04
  2.56775     4.57     0.04     0.04
  2.56788     4.58     0.04     0.04
  2.56800     4.59     0.04     0.04
  2.56813     4.60     0.04     0.04
  2.56825     4.60     0.04     0.04
  2.56838     4.61     0.04     0.04
  2.56850     4.62     0.04     0.04
  2.56863     4.62     0.04     0.04
  2.56875     4.62     0.04     0.04
  2.56888     4.63     0.04     0.04
  2.56900     4.63     0.04     0.04
  2.56913     4.64     0.04     0.04
  2.56925     4.65     0.04     0.04
  2.56938     4.66     0.04     0.04
  2.56950     4.67     0.04     0.04
  2.56963     4.69     0.04     0.04
  2.56975     4.70     0.04     0.04
  2.56988     4.72     0.04     0.04
  2.57000     4.73     0.04     0.04
  2.57013     4.75     0.04     0.04
  2.57025     4.75     0.04     0.04
  2.57038     4.76     0.04     0.04
  2.57050     4.76     0.04     0.04
  2.57063     4.75     0.04     0.04
  2.57075     4.74     0.04     0.04
  2.57088     4.73     0.04     0.04
  2.57100     4.71     0.04     0.04
  2.57113     4.69     0.04     0.04
  2.57125     4.67     0.04     0.04
  2.57138     4.65     0.04     0.04
  2.57150     4.63     0.04     0.04
  2.57163     4.61     0.04     0.04
  2.57175     4.60     0.04     0.04
  2.57188     4.59     0.04     0.04
  2.57200     4.58     0.04     0.04
  2.57213     4.58     0.04     0.04
  2.57225     4.58     0.04     0.04
  2.57238     4.58     0.04     0.04
  2.57250     4.58     0.04     0.04
  2.57263     4.59     0.04     0.04
  2.57275     4.59     0.04     0.04
  2.57288     4.60     0.04     0.04
  2.57300     4.61     0.04     0.04
  2.57313     4.62     0.04     0.04
  2.57325     4.63     0.04     0.04
  2.57338     4.63     0.04     0.04
  2.57350     4.65     0.04     0.04
  2.57363     4.65     0.04     0.04
  2.57375     4.66     0.04     0.04
  2.57388     4.66     0.04     0.04
  2.57400     4.66     0.04     0.04
  2.57413     4.66     0.04     0.04
  2.57425     4.65     0.04     0.04
  2.57438     4.64     0.04     0.04
  2.57450     4.64     0.04     0.04
  2.57463     4.63     0.04     0.04
  2.57475     4.63     0.04     0.04
  2.57488     4.61     0.04     0.04
  2.57500     4.61     0.04     0.04
  2.57513     4.60     0.04     0.04
  2.57525     4.59     0.04     0.04
  2.57538     4.59     0.04     0.04
  2.57550     4.58     0.04     0.04
  2.57563     4.58     0.04     0.04
  2.57575     4.58     0.04     0.04
  2.57588     4.58     0.04     0.04
  2.57600     4.59     0.04     0.04
  2.57613     4.59     0.04     0.04
  2.57625     4.60     0.04     0.04
  2.57638     4.60     0.04     0.04
  2.57650     4.61     0.04     0.04
  2.57663     4.61     0.04     0.04
  2.57675     4.61     0.04     0.04
  2.57688     4.61     0.04     0.04
  2.57700     4.61     0.04     0.04
  2.57713     4.61     0.04     0.04
  2.57725     4.61     0.04     0.04
  2.57738     4.61     0.04     0.04
  2.57750     4.61     0.04     0.04
  2.57763     4.60     0.04     0.04
  2.57775     4.60     0.04     0.04
  2.57788     4.60     0.04     0.04
  2.57800     4.59     0.04     0.04
  2.57813     4.59     0.04     0.04
  2.57825     4.59     0.04     0.04
  2.57838     4.58     0.04     0.04
  2.57850     4.58     0.04     0.04
  2.57863     4.58     0.04     0.04
  2.57875     4.58     0.04     0.04
  2.57888     4.58     0.04     0.04
  2.57900     4.58     0.04     0.04
  2.57913     4.58     0.04     0.04
  2.57925     4.58     0.04     0.04
  2.57938     4.58     0.04     0.04
  2.57950     4.58     0.04     0.04
  2.57963     4.58     0.04     0.04
  2.57975     4.57     0.04     0.04
  2.57988     4.56     0.04     0.04
  2.58000     4.56     0.04     0.04
  2.58013     4.55     0.04     0.04
  2.58025     4.54     0.04     0.04
  2.58038     4.54     0.04     0.04
  2.58050     4.53     0.04     0.04
  2.58063     4.53     0.04     0.04
  2.58075     4.53     0.04     0.04
  2.58088     4.52     0.04     0.04
  2.58100     4.52     0.04     0.04
  2.58113     4.52     0.04     0.04
  2.58125     4.53     0.04     0.04
  2.58138     4.54     0.04     0.04
  2.58150     4.54     0.04     0.04
  2.58163     4.55     0.04     0.04
  2.58175     4.55     0.04     0.04
  2.58188     4.56     0.04     0.04
  2.58200     4.56     0.04     0.04
  2.58213     4.56     0.04     0.04
  2.58225     4.56     0.04     0.04
  2.58238     4.56     0.04     0.04
  2.58250     4.55     0.04     0.04
  2.58263     4.55     0.04     0.04
  2.58275     4.54     0.04     0.04
  2.58288     4.53     0.04     0.04
  2.58300     4.53     0.04     0.04
  2.58313     4.53     0.04     0.04
  2.58325     4.54     0.04     0.04
  2.58338     4.54     0.04     0.04
  2.58350     4.54     0.04     0.04
  2.58363     4.55     0.04     0.04
  2.58375     4.55     0.04     0.04
  2.58388     4.56     0.04     0.04
  2.58400     4.56     0.04     0.04
  2.58413     4.55     0.04     0.04
  2.58425     4.55     0.04     0.04
  2.58438     4.54     0.04     0.04
  2.58450     4.52     0.04     0.04
  2.58463     4.51     0.04     0.04
  2.58475     4.49     0.04     0.04
  2.58488     4.48     0.04     0.04
  2.58500     4.47     0.04     0.04
  2.58513     4.46     0.04     0.04
  2.58525     4.46     0.04     0.04
  2.58538     4.46     0.04     0.04
  2.58550     4.47     0.04     0.04
  2.58563     4.47     0.04     0.04
  2.58575     4.49     0.04     0.04
  2.58588     4.51     0.04     0.04
  2.58600     4.53     0.04     0.04
  2.58613     4.54     0.04     0.04
  2.58625     4.56     0.04     0.04
  2.58638     4.58     0.04     0.04
  2.58650     4.59     0.04     0.04
  2.58663     4.60     0.04     0.04
  2.58675     4.61     0.04     0.04
  2.58688     4.62     0.04     0.04
  2.58700     4.63     0.04     0.04
  2.58713     4.63     0.04     0.04
  2.58725     4.64     0.04     0.04
  2.58738     4.64     0.04     0.04
  2.58750     4.65     0.04     0.04
  2.58763     4.66     0.04     0.04
  2.58775     4.66     0.04     0.04
  2.58788     4.66     0.04     0.04
  2.58800     4.66     0.04     0.04
  2.58813     4.66     0.04     0.04
  2.58825     4.65     0.04     0.04
  2.58838     4.64     0.04     0.04
  2.58850     4.63     0.04     0.04
  2.58863     4.62     0.04     0.04
  2.58875     4.61     0.04     0.04
  2.58888     4.60     0.04     0.04
  2.58900     4.60     0.04     0.04
  2.58913     4.60     0.04     0.04
  2.58925     4.59     0.04     0.04
  2.58938     4.59     0.04     0.04
  2.58950     4.59     0.04     0.04
  2.58963     4.59     0.04     0.04
  2.58975     4.60     0.04     0.04
  2.58988     4.60     0.04     0.04
  2.59000     4.60     0.04     0.04
  2.59013     4.60     0.04     0.04
  2.59025     4.60     0.04     0.04
  2.59038     4.61     0.04     0.04
  2.59050     4.60     0.04     0.04
  2.59063     4.60     0.04     0.04
  2.59075     4.59     0.04     0.04
  2.59088     4.59     0.04     0.04
  2.59100     4.57     0.04     0.04
  2.59113     4.56     0.04     0.04
  2.59125     4.55     0.04     0.04
  2.59138     4.54     0.04     0.04
  2.59150     4.53     0.04     0.04
  2.59163     4.52     0.04     0.04
  2.59175     4.51     0.04     0.04
  2.59188     4.51     0.04     0.04
  2.59200     4.51     0.04     0.04
  2.59213     4.50     0.04     0.04
  2.59225     4.51     0.04     0.04
  2.59238     4.52     0.04     0.04
  2.59250     4.53     0.04     0.04
  2.59263     4.54     0.04     0.04
  2.59275     4.55     0.04     0.04
  2.59288     4.56     0.04     0.04
  2.59300     4.56     0.04     0.04
  2.59313     4.57     0.04     0.04
  2.59325     4.58     0.04     0.04
  2.59338     4.57     0.04     0.04
  2.59350     4.57     0.04     0.04
  2.59363     4.57     0.04     0.04
  2.59375     4.57     0.04     0.04
  2.59388     4.57     0.04     0.04
  2.59400     4.57     0.04     0.04
  2.59413     4.57     0.04     0.04
  2.59425     4.57     0.04     0.04
  2.59438     4.56     0.04     0.04
  2.59450     4.56     0.04     0.04
  2.59463     4.55     0.04     0.04
  2.59475     4.54     0.04     0.04
  2.59488     4.53     0.04     0.04
  2.59500     4.52     0.04     0.04
  2.59513     4.51     0.04     0.04
  2.59525     4.50     0.04     0.04
  2.59538     4.49     0.04     0.04
  2.59550     4.47     0.04     0.04
  2.59563     4.47     0.04     0.04
  2.59575     4.46     0.04     0.04
  2.59588     4.45     0.04     0.04
  2.59600     4.45     0.04     0.04
  2.59613     4.45     0.04     0.04
  2.59625     4.45     0.04     0.04
  2.59638     4.45     0.04     0.04
  2.59650     4.45     0.04     0.04
  2.59663     4.45     0.04     0.04
  2.59675     4.45     0.04     0.04
  2.59688     4.45     0.04     0.04
  2.59700     4.45     0.04     0.04
  2.59713     4.44     0.04     0.04
  2.59725     4.44     0.04     0.04
  2.59738     4.43     0.04     0.04
  2.59750     4.43     0.04     0.04
  2.59763     4.42     0.04     0.04
  2.59775     4.41     0.04     0.04
  2.59788     4.41     0.04     0.04
  2.59800     4.41     0.04     0.04
  2.59813     4.41     0.04     0.04
  2.59825     4.42     0.04     0.04
  2.59838     4.42     0.04     0.04
  2.59850     4.42     0.04     0.04
  2.59863     4.43     0.04     0.04
  2.59875     4.43     0.04     0.04
  2.59888     4.44     0.04     0.04
  2.59900     4.45     0.04     0.04
  2.59913     4.45     0.04     0.04
  2.59925     4.46     0.04     0.04
  2.59938     4.46     0.04     0.04
  2.59950     4.47     0.04     0.04
  2.59963     4.47     0.04     0.04
  2.59975     4.48     0.04     0.04
  2.59988     4.48     0.04     0.04
  2.60000     4.48     0.04     0.04
  2.60017     4.47     0.13     0.13
  2.60033     4.47     0.13     0.13
  2.60050     4.49     0.13     0.13
  2.60067     4.49     0.13     0.13
  2.60083     4.50     0.13     0.13
  2.60100     4.51     0.13     0.13
  2.60117     4.53     0.13     0.13
  2.60133     4.53     0.13     0.13
  2.60150     4.54     0.13     0.13
  2.60167     4.55     0.13     0.13
  2.60183     4.56     0.13     0.13
  2.60200     4.56     0.13     0.13
  2.60217     4.56     0.13     0.13
  2.60233     4.57     0.13     0.13
  2.60250     4.57     0.13     0.13
  2.60267     4.57     0.13     0.13
  2.60283     4.57     0.13     0.13
  2.60300     4.57     0.13     0.13
  2.60317     4.57     0.13     0.13
  2.60333     4.58     0.13     0.13
  2.60350     4.58     0.13     0.13
  2.60367     4.58     0.13     0.13
  2.60383     4.57     0.13     0.13
  2.60400     4.57     0.13     0.13
  2.60417     4.57     0.13     0.13
  2.60433     4.56     0.13     0.13
  2.60450     4.55     0.13     0.13
  2.60467     4.54     0.13     0.13
  2.60483     4.53     0.13     0.13
  2.60500     4.51     0.13     0.13
  2.60517     4.49     0.13     0.13
  2.60533     4.47     0.13     0.13
  2.60550     4.45     0.13     0.13
  2.60567     4.43     0.13     0.13
  2.60583     4.41     0.13     0.13
  2.60600     4.39     0.13     0.13
  2.60617     4.38     0.13     0.13
  2.60633     4.37     0.13     0.13
  2.60650     4.37     0.13     0.13
  2.60667     4.36     0.13     0.13
  2.60683     4.37     0.13     0.13
  2.60700     4.37     0.13     0.13
  2.60717     4.38     0.13     0.13
  2.60733     4.39     0.13     0.13
  2.60750     4.40     0.13     0.13
  2.60767     4.42     0.13     0.13
  2.60783     4.43     0.13     0.13
  2.60800     4.45     0.13     0.13
  2.60817     4.47     0.13     0.13
  2.60833     4.49     0.13     0.13
  2.60850     4.51     0.13     0.13
  2.60867     4.52     0.13     0.13
  2.60883     4.53     0.13     0.13
  2.60900     4.54     0.13     0.13
  2.60917     4.54     0.13     0.13
  2.60933     4.54     0.13     0.13
  2.60950     4.54     0.13     0.13
  2.60967     4.54     0.13     0.13
  2.60983     4.52     0.13     0.13
  2.61000     4.52     0.13     0.13
  2.61017     4.51     0.13     0.13
  2.61033     4.51     0.13     0.13
  2.61050     4.50     0.13     0.13
  2.61067     4.51     0.13     0.13
  2.61083     4.51     0.13     0.13
  2.61100     4.52     0.13     0.13
  2.61117     4.53     0.13     0.13
  2.61133     4.54     0.13     0.13
  2.61150     4.55     0.13     0.13
  2.61167     4.56     0.13     0.13
  2.61183     4.57     0.13     0.13
  2.61200     4.59     0.13     0.13
  2.61217     4.59     0.13     0.13
  2.61233     4.59     0.13     0.13
  2.61250     4.59     0.13     0.13
  2.61267     4.59     0.13     0.13
  2.61283     4.58     0.13     0.13
  2.61300     4.57     0.13     0.13
  2.61317     4.56     0.13     0.13
  2.61333     4.55     0.13     0.13
  2.61350     4.53     0.13     0.13
  2.61367     4.52     0.13     0.13
  2.61383     4.51     0.13     0.13
  2.61400     4.50     0.13     0.13
  2.61417     4.49     0.13     0.13
  2.61433     4.48     0.13     0.13
  2.61450     4.47     0.13     0.13
  2.61467     4.47     0.13     0.13
  2.61483     4.45     0.13     0.13
  2.61500     4.44     0.13     0.13
  2.61517     4.43     0.13     0.13
  2.61533     4.42     0.13     0.13
  2.61550     4.41     0.13     0.13
  2.61567     4.40     0.13     0.13
  2.61583     4.38     0.13     0.13
  2.61600     4.37     0.13     0.13
  2.61617     4.37     0.13     0.13
  2.61633     4.36     0.13     0.13
  2.61650     4.36     0.13     0.13
  2.61667     4.36     0.13     0.13
  2.61683     4.37     0.13     0.13
  2.61700     4.38     0.13     0.13
  2.61717     4.39     0.13     0.13
  2.61733     4.41     0.12     0.12
  2.61750     4.43     0.12     0.12
  2.61767     4.45     0.12     0.12
  2.61783     4.48     0.12     0.12
  2.61800     4.49     0.12     0.12
  2.61817     4.51     0.12     0.12
  2.61833     4.52     0.12     0.12
  2.61850     4.53     0.12     0.12
  2.61867     4.54     0.12     0.12
  2.61883     4.55     0.12     0.12
  2.61900     4.55     0.12     0.12
  2.61917     4.56     0.12     0.12
  2.61933     4.56     0.12     0.12
  2.61950     4.56     0.12     0.12
  2.61967     4.57     0.12     0.12
  2.61983     4.57     0.12     0.12
  2.62000     4.58     0.12     0.12
  2.62017     4.58     0.12     0.12
  2.62033     4.58     0.12     0.12
  2.62050     4.59     0.12     0.12
  2.62067     4.60     0.12     0.12
  2.62083     4.59     0.12     0.12
  2.62100     4.59     0.12     0.12
  2.62117     4.59     0.12     0.12
  2.62133     4.58     0.12     0.12
  2.62150     4.58     0.12     0.12
  2.62167     4.56     0.12     0.12
  2.62183     4.56     0.12     0.12
  2.62200     4.55     0.12     0.12
  2.62217     4.55     0.12     0.12
  2.62233     4.56     0.12     0.12
  2.62250     4.57     0.12     0.12
  2.62267     4.60     0.12     0.12
  2.62283     4.65     0.12     0.12
  2.62300     4.71     0.12     0.12
  2.62317     4.79     0.12     0.12
  2.62333     4.89     0.12     0.12
  2.62350     5.01     0.12     0.12
  2.62367     5.15     0.12     0.12
  2.62383     5.32     0.12     0.12
  2.62400     5.51     0.12     0.12
  2.62417     5.72     0.12     0.12
  2.62433     5.98     0.12     0.12
  2.62450     6.25     0.12     0.12
  2.62467     6.56     0.12     0.12
  2.62483     6.88     0.12     0.12
  2.62500     7.20     0.12     0.12
  2.62517     7.52     0.12     0.12
  2.62533     7.80     0.12     0.12
  2.62550     8.05     0.12     0.12
  2.62567     8.23     0.12     0.12
  2.62583     8.35     0.12     0.12
  2.62600     8.41     0.12     0.12
  2.62617     8.39     0.12     0.12
  2.62633     8.31     0.12     0.12
  2.62650     8.19     0.12     0.12
  2.62667     8.01     0.12     0.12
  2.62683     7.79     0.12     0.12
  2.62700     7.54     0.12     0.12
  2.62717     7.26     0.12     0.12
  2.62733     6.98     0.12     0.12
  2.62750     6.68     0.12     0.12
  2.62767     6.38     0.12     0.12
  2.62783     6.10     0.12     0.12
  2.62800     5.82     0.12     0.12
  2.62817     5.56     0.12     0.12
  2.62833     5.34     0.12     0.12
  2.62850     5.13     0.12     0.12
  2.62867     4.96     0.12     0.12
  2.62883     4.82     0.12     0.12
  2.62900     4.71     0.12     0.12
  2.62917     4.62     0.12     0.12
  2.62933     4.56     0.12     0.12
  2.62950     4.51     0.12     0.12
  2.62967     4.48     0.12     0.12
  2.62983     4.46     0.12     0.12
  2.63000     4.45     0.12     0.12
  2.63017     4.45     0.12     0.12
  2.63033     4.45     0.12     0.12
  2.63050     4.45     0.12     0.12
  2.63067     4.46     0.12     0.12
  2.63083     4.46     0.12     0.12
  2.63100     4.46     0.12     0.12
  2.63117     4.47     0.12     0.12
