   2.503	  50.049	  41.633	  65.897
   2.513	  50.601	  44.869	  61.916
   2.522	  47.620	  43.333	  56.382
   2.531	  46.398	  43.243	  53.269
   2.541	  44.170	  41.953	  49.456
   2.550	  44.635	  43.140	  48.908
   2.559	  43.545	  42.621	  46.894
   2.569	  41.993	  41.371	  44.618
   2.578	  44.048	  43.569	  46.469
   2.588	  44.801	  44.399	  47.122
   2.597	  46.083	  45.724	  48.386
   2.606	  47.600	  47.268	  49.921
   2.616	  47.992	  47.683	  50.321
   2.625	  49.905	  49.641	  52.266
   2.634	  50.678	  50.460	  53.041
   2.643	  49.279	  49.056	  51.575
   2.652	  48.987	  48.789	  51.257
   2.662	  45.933	  45.711	  48.104
   2.671	  48.317	  48.169	  50.515
   2.681	  49.135	  49.000	  51.340
   2.690	  48.083	  47.912	  50.300
   2.700	  48.896	  48.695	  51.170
   2.709	  50.056	  49.837	  52.377
   2.719	  50.525	  50.299	  52.860
   2.728	  50.331	  50.101	  52.653
   2.738	  51.353	  51.155	  53.706
   2.747	  49.740	  49.507	  52.079
   2.757	  50.390	  50.137	  52.769
   2.765	  48.223	  47.904	  50.563
   2.775	  48.776	  48.452	  51.137
   2.784	  49.766	  49.452	  52.147
   2.793	  50.685	  50.401	  53.086
   2.803	  50.505	  50.224	  52.904
   2.813	  49.082	  48.768	  51.457
   2.822	  46.948	  46.584	  49.281
   2.832	  48.597	  48.256	  50.975
   2.841	  48.282	  47.921	  50.661
   2.851	  47.187	  46.798	  49.545
   2.860	  47.322	  46.947	  49.684
   2.870	  47.087	  46.739	  49.426
   2.879	  45.940	  45.587	  48.227
   2.889	  45.211	  44.851	  47.471
   2.897	  44.198	  43.815	  46.439
   2.907	  45.638	  45.268	  47.924
   2.916	  43.143	  42.717	  45.377
   2.926	  43.427	  43.001	  45.676
   2.935	  43.741	  43.315	  46.003
   2.945	  44.139	  43.716	  46.413
   2.955	  41.980	  41.522	  44.198
   2.964	  43.007	  42.577	  45.245
   2.974	  43.407	  42.990	  45.646
   2.983	  43.082	  42.664	  45.307
   2.993	  43.458	  43.054	  45.686
   3.002	  42.750	  42.339	  44.954
   3.012	  42.042	  41.626	  44.221
   3.021	  42.424	  42.032	  44.600
   3.030	  42.294	  41.911	  44.455
   3.040	  41.767	  41.376	  43.917
   3.049	  41.802	  41.401	  43.968
   3.059	  42.512	  42.104	  44.723
   3.069	  41.800	  41.346	  44.016
   3.078	  41.636	  41.158	  43.858
   3.088	  41.796	  41.313	  44.053
   3.097	  42.623	  42.124	  44.942
   3.107	  41.516	  40.949	  43.854
   3.117	  41.299	  40.673	  43.695
   3.126	  42.766	  42.098	  45.269
   3.136	  43.785	  43.052	  46.361
   3.145	  44.653	  43.892	  47.272
   3.154	  46.157	  45.402	  48.822
   3.164	  46.095	  45.340	  48.763
   3.173	  45.010	  44.236	  47.665
   3.183	  47.746	  47.004	  50.489
   3.192	  48.485	  47.739	  51.259
   3.202	  49.325	  48.578	  52.126
   3.212	  51.458	  50.744	  54.322
   3.221	  53.752	  53.072	  56.682
   3.231	  55.276	  54.613	  58.247
   3.241	  60.969	  60.407	  64.088
   3.250	  66.941	  66.472	  70.231
   3.260	  72.790	  72.371	  76.261
   3.270	  79.695	  79.342	  83.379
   3.279	  84.589	  84.271	  88.445
   3.288	  86.625	  86.294	  90.578
   3.298	  89.841	  89.545	  93.897
   3.307	  85.567	  85.210	  89.514
   3.317	  76.811	  76.331	  80.518
   3.326	  71.904	  71.373	  75.457
   3.336	  66.401	  65.784	  69.803
   3.346	  61.389	  60.697	  64.654
   3.355	  59.596	  58.880	  62.811
   3.365	  57.477	  56.727	  60.637
   3.375	  55.930	  55.159	  59.047
   3.384	  54.896	  54.111	  57.985
   3.394	  58.045	  57.320	  61.203
   3.404	  57.142	  56.404	  60.276
   3.413	  59.137	  58.444	  62.313
   3.422	  56.993	  56.266	  60.113
   3.432	  57.255	  56.535	  60.378
   3.441	  56.518	  55.781	  59.627
   3.451	  57.393	  56.668	  60.527
   3.461	  54.602	  53.823	  57.670
   3.470	  55.740	  54.980	  58.834
   3.480	  56.778	  56.037	  59.895
   3.490	  53.830	  53.035	  56.871
   3.500	  54.989	  54.221	  58.051
   3.509	  54.809	  54.064	  57.860
   3.519	  54.249	  53.534	  57.259
   3.529	  53.135	  52.423	  56.085
   3.538	  54.505	  53.827	  57.471
   3.547	  54.634	  53.969	  57.591
   3.557	  53.467	  52.792	  56.382
   3.566	  53.228	  52.551	  56.125
   3.576	  51.441	  50.744	  54.285
   3.586	  52.205	  51.551	  55.053
   3.595	  51.988	  51.350	  54.805
   3.605	  51.354	  50.740	  54.133
   3.615	  50.440	  49.850	  53.165
   3.625	  50.295	  49.723	  52.982
   3.634	  50.328	  49.755	  52.997
   3.644	  49.645	  49.074	  52.294
